"name";"ine";"email";"tel"
"Alegría-Dulantzi";"01-001";"aalegria.mjesus@ayto.alava.net";"945420027"
"Laudio/Llodio";"01-036";"allodio.secretaria@ayto.alava.net";"944034800"
"Amurrio";"01-002";"amurrio@amurrio.eus";"945891161"
"Arraia-Maeztu";"01-037";"aarraia.lucinio@ayto.alava.net";"945410033"
"Aramaio";"01-003";"aaramaio.aitor@ayto.alava.net";"945445016"
"Moreda de Álava/Moreda Araba";"01-039";"amoreda.secretaria@ayto.araba.eus";"945601893"
"Artziniega";"01-004";"aartziniega.ascen@ayto.alava.net";"945396353"
"Navaridas";"01-041";"anavaridas.felix@ayto.alava.net";"945605053"
"Armiñón";"01-006";"arminon.dionisio@ayto.alava.net";"945365088"
"Okondo";"01-042";"aokondo.ines@ayto.alava.net";"945898023"
"Arratzua-Ubarrundia";"01-008";"aaarrazua.mvictoria@ayto.alava.net";"945299516"
"Oyón-Oion";"01-043";"aoyon.idazkari@ayto.alava.net";"945622190"
"Asparrena";"01-009";"aasparrena.idazkari@ayto.araba.eus";"945304434"
"Peñacerrada-Urizaharra";"01-044";"apenacerrada.jesus@ayto.alava.net";"945367004"
"Ayala/Aiara";"01-010";"aayala.nieves@ayto.alava.net";"945399013"
"Erriberagoitia/Ribera Alta";"01-046";"aralta.luisa@ayto.alava.net";"945362021"
"Baños de Ebro/Mañueta";"01-011";"abebro.valentin@ayto.alava.net";"945609054"
"Ribera Baja/Erribera Beitia";"01-047";"arbaja.francisco@ayto.alava.net";"945355116"
"Barrundia";"01-013";"abarrundia.ana@ayto.alava.net";"945317006"
"Añana";"01-049";"aanana.secretaria@ayto.araba.eus";"945351067"
"Berantevilla";"01-014";"aberantevilla.dionisio@ayto.alava.net";"945337059"
"Salvatierra/Agurain";"01-051";"aguraingoudala@agurain.eus";"945300155"
"Bernedo";"01-016";"abernedo.isabel@ayto.alava.net";"945378041"
"Samaniego";"01-052";"asamaniego.valentin@ayto.alava.net";"945609104"
"Campezo/Kanpezu";"01-017";"acampezo.esteban@ayto.alava.net";"945405443"
"San Millán/Donemiliaga";"01-053";"asanmillan.anunci@ayto.alava.net";"945300472"
"Zigoitia";"01-018";"azigoitia.secretaria@ayto.alava.net";"945464041"
"Urkabustaiz";"01-054";"aurkabustaiz.marisa@ayto.alava.net";"945437080"
"Kripan";"01-019";"acripan.armando@ayto.alava.net";"945608108"
"Valdegovía/Gaubea";"01-055";"avaldegovia.amalia@ayto.alava.net";"945353033"
"Kuartango";"01-020";"acuartango.begona@ayto.alava.net";"945362845"
"Harana/Valle de Arana";"01-056";"avarana.udala@ayto.araba.eus";"945406006"
"Elburgo/Burgelu";"01-021";"aelburgo.general@ayto.alava.net";"945420713"
"Villabuena de Álava/Eskuernaga";"01-057";"avillabuena.valentin@ayto.alava.net";"945609024"
"Elciego";"01-022";"aelciego.jramon@ayto.alava.net";"945606011"
"Legutio";"01-058";"alegutiano.mangeles@ayto.alava.net";"945455010"
"Elvillar/Bilar";"01-023";"aelvillar.armando@ayto.alava.net";"945604011"
"Vitoria-Gasteiz";"01-059";"010@vitoria-gasteiz.org";"945161100"
"Iruraiz-Gauna";"01-027";"airuraiz@ayto.alava.net";"945300991"
"Yécora/Iekora";"01-060";"ayecora.secretaria@ayto.araba.eus";"945601255"
"Labastida/Bastida";"01-028";"alabastida.santiago@ayto.alava.net";"945331818"
"Zalduondo";"01-061";"azalduondo.begona@ayto.alava.net";"945314534"
"Lagrán";"01-030";"alagran.delia@ayto.araba.eus";"945378059"
"Zambrana";"01-062";"azambrana.mjesus@ayto.alava.net";"945337014"
"Laguardia";"01-031";"alaguardia.jose@ayto.alava.net";"945600007"
"Zuia";"01-063";"azuia.susana@ayto.alava.net";"945430005"
"Lanciego/Lantziego";"01-032";"alanciego.armando@ayto.alava.net";"945608041"
"Iruña Oka/Iruña de Oca";"01-901";"airuna.valentina@ayto.alava.net";"945371064"
"Lapuebla de Labarca";"01-033";"alapuebla@ayto.alava.net";"945607051"
"Lantarón";"01-902";"alantaron.alvaro@ayto.alava.net";"945332024"
"Leza";"01-034";"aleza.felix@ayto.alava.net";"945605021"
"Abánades";"19-001";"secretaria@abanades.es";"608784678"
"Mazuecos";"19-176";NA;"949389315"
"Ablanque";"19-002";"ayuntamientoablanque@gmail.com";"949838142"
"Medranda";"19-177";NA;"949892640"
"Adobes";"19-003";"ayuntamientoadobes@hotmail.es";"949841335"
"Megina";"19-178";"aytomegina@hotmail.com";"949836191"
"Alaminos";"19-004";"aytos.agis@gmail.com";"949285564"
"Membrillera";"19-179";"ayto.membrillera@hotmail.es";"949891105"
"Alarilla";"19-005";"aytalarilla@hotmail.com";"949851350"
"Miedes de Atienza";"19-181";"ayuntamientodemiedes@yahoo.es";"949396521"
"Albalate de Zorita";"19-006";"ayuntamiento@albalatedezorita.es";"949376001"
"Mierla (La)";"19-182";NA;"949823148"
"Albares";"19-007";NA;"949380101"
"Milmarcos";"19-183";"ayuntamientomilmarcos@yahoo.es";"949840213"
"Albendiego";"19-008";"eacondemios@eresmas.com";"949307608"
"Millana";"19-184";NA;"616066509"
"Alcocer";"19-009";"ayuntamiento@ayuntamientoalcocer.es";"949355001"
"Miñosa (La)";"19-185";NA;NA
"Alcolea de las Peñas";"19-010";"aytodelaspe@gmail.com";"949399053"
"Mirabueno";"19-186";"mirabueno.ayuntamiento@gmail.com";"949305378"
"Alcolea del Pinar";"19-011";"secretaria@aytoalcoleadelpinar.org";"949300018"
"Miralrío";"19-187";"aytomiralrio@gmail.com";"949891057"
"Alcoroches";"19-013";"aytoalcoroches@hotmail.com";"949836051"
"Mochales";"19-188";"aytomochales@hotmail.com";"949834505"
"Aldeanueva de Guadalajara";"19-015";"aytoaldeanueva@gmail.com";"949252606"
"Mohernando";"19-189";"aytomoher@hotmail.com";"949850155"
"Algar de Mesa";"19-016";"aytovillel@hotmail.com";"949834586"
"Molina de Aragón";"19-190";"ayuntamiento@molinadearagon.es";"949830001"
